model,accuracy_mean,accuracy_std,accuracy_ci95,precision_macro_mean,precision_macro_std,precision_macro_ci95,recall_macro_mean,recall_macro_std,recall_macro_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,training_time_mean,training_time_std,feature_method,selected_features
DecisionTree + scaling + SMOTE,0.8499108734402852,0.05703474537374952,0.015809224845074334,0.8593574285421033,0.07092555125451998,0.019659559794574327,0.8015781342840167,0.07989701466339938,0.022146322579099882,0.8128236019490245,0.07646436351307226,0.02119484022400899,0.005278286933898926,0.001099554338018906,LinearSVC-L1,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water Phase (V); Water Phase Amount (g)
KNN + scaling + SMOTE,0.7685561497326203,0.08010377199553427,0.02220363278765203,0.7806067915535206,0.09692544072590929,0.026866361471459804,0.7252041988512576,0.10125298704402065,0.02806589611165449,0.7347222550249036,0.10030569442997972,0.02780331999544123,0.005307092666625977,0.0012642355501690653,LinearSVC-L1,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water Phase (V); Water Phase Amount (g)
SVM-rbf + scaling + SMOTE,0.7529590017825311,0.06618128623588879,0.01834451662373759,0.7858660103283942,0.0829449991620964,0.0229911807782281,0.7105228758169935,0.09036709174281377,0.025048479880040588,0.723530698293233,0.0858211746270433,0.02378841594288546,0.012601523399353028,0.002252915509992194,LinearSVC-L1,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water Phase (V); Water Phase Amount (g)
"Baseline SVM-linear (no scaling, no SMOTE)",0.7469696969696971,0.0657518520825567,0.018225483549395058,0.8377902446772753,0.05615697896946753,0.015565920410982243,0.6818510596157654,0.09334065957226599,0.025872710830837926,0.7103248204442327,0.09327238892855358,0.025853787173868922,0.2016971731185913,0.1318495338281942,LinearSVC-L1,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water Phase (V); Water Phase Amount (g)
SVM-linear + scaling + SMOTE,0.72777183600713,0.07320770577033439,0.02029214075264269,0.751732509887275,0.09388752657825387,0.026024294631227685,0.6969887106357696,0.09654755743661583,0.026761617567608066,0.7048743523879106,0.09593837031098701,0.026592759511370943,0.024787535667419435,0.10088639772744606,LinearSVC-L1,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water Phase (V); Water Phase Amount (g)
GaussianNB + scaling + SMOTE,0.7050623885918003,0.11524694863857957,0.031944824366211766,0.7665828407756327,0.09891478061744799,0.02741777835659744,0.7016343830461477,0.10317492322345694,0.028598629641005457,0.7013726749365332,0.11877334306811915,0.032922291032604,0.006788492202758789,0.003989206892646814,LinearSVC-L1,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water Phase (V); Water Phase Amount (g)
SVM-poly + scaling + SMOTE,0.7354367201426024,0.08003309438747423,0.02218404195420461,0.7751956006184031,0.12205443786066918,0.033831764108594974,0.6716640918993859,0.10723301164138442,0.02972347436188213,0.6865182092042937,0.11476949367060385,0.031812480601149565,0.009943161010742187,0.0022797915317288348,LinearSVC-L1,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water Phase (V); Water Phase Amount (g)
SVM-sigmoid + scaling + SMOTE,0.6622816399286987,0.09081949935712197,0.025173880872880187,0.6588648451589291,0.11787326795067642,0.032672802938708556,0.6330053475935828,0.11238806889256536,0.031152383330250385,0.6270353556955149,0.11121637234682427,0.030827605617639725,0.01097726821899414,0.0014465399563968404,LinearSVC-L1,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water Phase (V); Water Phase Amount (g)
DecisionTree + scaling + SMOTE,0.8499108734402852,0.05703474537374952,0.015809224845074334,0.8593574285421033,0.07092555125451998,0.019659559794574327,0.8015781342840167,0.07989701466339938,0.022146322579099882,0.8128236019490245,0.07646436351307226,0.02119484022400899,0.004853696823120117,0.0008551825652654793,LinearSVC-L2,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water Phase (V); Water Phase Amount (g)
KNN + scaling + SMOTE,0.7685561497326203,0.08010377199553427,0.02220363278765203,0.7806067915535206,0.09692544072590929,0.026866361471459804,0.7252041988512576,0.10125298704402065,0.02806589611165449,0.7347222550249036,0.10030569442997972,0.02780331999544123,0.0044869518280029295,0.0007118925555642736,LinearSVC-L2,Co-Surfactant (Ratio); Surfactant Amount (g); Surfactant (HLB); Oil (mPa.s); Water Phase (V); Water Phase Amount (g)
